0,Math/BBA,MATH135,MATH135/145,TakingThisCourse('MATH135') || TakingThisCourse('MATH145')
0,Math/BBA,MATH137,MATH137/147,TakingThisCourse('MATH137') || TakingThisCourse('MATH147')
0,Math/BBA,MATH136,MATH136/146,TakingThisCourse('MATH136') || TakingThisCourse('MATH146')
0,Math/BBA,MATH138,MATH138/148,TakingThisCourse('MATH138') || TakingThisCourse('MATH148')
0,Math/BBA,MATH235,MATH235/245,TakingThisCourse('MATH235') || TakingThisCourse('MATH245')
0,Math/BBA,MATH237,MATH237/247,TakingThisCourse('MATH237') || TakingThisCourse('MATH247')
0,Math/BBA,MATH239,MATH239/249,TakingThisCourse('MATH239') || TakingThisCourse('MATH249')
0,Math/BBA,CS115,CS115/135/145,TakingThisCourse('CS115') || TakingThisCourse('CS135') || TakingThisCourse('CS145') 
0,Math/BBA,CS116,CS116/136/145,TakingThisCourse('CS116') || TakingThisCourse('CS136') || TakingThisCourse('CS146') || (TakingThisCourse('CS145') && TakingThisCourse('CS241'))
0,Math/BBA,STAT230,STAT230/240,TakingThisCourse('STAT230') || TakingThisCourse('STAT240')
0,Math/BBA,STAT231,STAT231/241,TakingThisCourse('STAT231') || TakingThisCourse('STAT241')
0,Math/BBA,ACTSC231,ACTSC231,TakingThisCourse('ACTSC231')
0,Math/BBA,STAT371,STAT371,TakingThisCourse('STAT371')
0,Math/BBA,STAT372,STAT372,TakingThisCourse('STAT372')
0,Math/BBA,CS330,CS330,TakingThisCourse('CS330')
0,Math/BBA,CO250,CO250,TakingThisCourse('CO250')
0,Math/BBA,CO370,CO370,TakingThisCourse('CO370')
0,Math/BBA,7 Additional Math,7 Additional Math Courses (24 in Total),NumberOfMathCourses() >= 24
0,Math/BBA,BU111,BU111,TakingThisCourse('BU111')
0,Math/BBA,BU121,BU121,TakingThisCourse('BU121')
0,Math/BBA,EC120,EC120,TakingThisCourse('EC120')
0,Math/BBA,EC140,EC140,TakingThisCourse('EC140')
0,Math/BBA,EC250/EC260,EC250/EC260,TakingThisCourse('EC250') || TakingThisCourse('EC260')
0,Math/BBA,BU227,BU227,TakingThisCourse('BU227')
0,Math/BBA,BU288,BU288,TakingThisCourse('BU288')
0,Math/BBA,BU247,BU247,TakingThisCourse('BU247')
0,Math/BBA,BU231,BU231,TakingThisCourse('BU231')
0,Math/BBA,BU352,BU352,TakingThisCourse('BU352')
0,Math/BBA,BU354,BU354,TakingThisCourse('BU354')
0,Math/BBA,BU383,BU383,TakingThisCourse('BU383')
0,Math/BBA,BU385,BU385,TakingThisCourse('BU385')
0,Math/BBA,BU362,BU362,TakingThisCourse('BU362')
0,Math/BBA,BU393,BU393,TakingThisCourse('BU393')
0,Math/BBA,BU395,BU395,TakingThisCourse('BU395')
0,Math/BBA,BU398,BU398,TakingThisCourse('BU398')
0,Math/BBA,BU481,BU481,TakingThisCourse('BU481')
0,Math/BBA,BU491,BU491,TakingThisCourse('BU491')
0,Math/BBA,"5 of BU3XX, BU4XX",5 Additional 300- or 400-level Bu Courses (24 BU courses total),"(CountByFamilyAndLevel('BU', 3) + CountByFamilyAndLevel('BU', 4)) >=  15"
0,Math/BBA,4 of Any,At least 52 credits total,TotalCount() >= 52
0,CS/BBA,CS135,CS135 or CS145,TakingThisCourse('CS135') || TakingThisCourse('CS145') 
0,CS/BBA,CS136,CS136 or CS146,TakingThisCourse('CS136') || TakingThisCourse('CS146')
0,CS/BBA,MATH135,MATH135/145,TakingThisCourse('MATH135') || TakingThisCourse('MATH145')
0,CS/BBA,MATH137,MATH137/147,TakingThisCourse('MATH137') || TakingThisCourse('MATH147')
0,CS/BBA,MATH136,MATH136/146,TakingThisCourse('MATH136') || TakingThisCourse('MATH146')
0,CS/BBA,MATH138,MATH138/148,TakingThisCourse('MATH138') || TakingThisCourse('MATH148')
0,CS/BBA,MATH239,MATH239/249,TakingThisCourse('MATH239') || TakingThisCourse('MATH249')
0,CS/BBA,STAT230,STAT230/240,TakingThisCourse('STAT230') || TakingThisCourse('STAT240')
0,CS/BBA,STAT231,STAT231/241,TakingThisCourse('STAT231') || TakingThisCourse('STAT241')
0,CS/BBA,CO250,CO250,TakingThisCourse('CO250')
0,CS/BBA,CS240,CS240,TakingThisCourse('CS240')
0,CS/BBA,CS241,CS241,TakingThisCourse('CS241')
0,CS/BBA,CS245,CS245,TakingThisCourse('CS245')
0,CS/BBA,CS246,CS246,TakingThisCourse('CS246')
0,CS/BBA,CS251,CS251,TakingThisCourse('CS251')
0,CS/BBA,CS341,CS341,TakingThisCourse('CS341')
0,CS/BBA,CS350,CS350,TakingThisCourse('CS350')
0,CS/BBA,CS490,CS490,TakingThisCourse('CS490')
0,CS/BBA,CS492,CS492,TakingThisCourse('CS492')
0,CS/BBA,ENGL210,ENGL210,TakingThisCourse('ENGL210')
0,CS/BBA,4 of CS3XX or CS4XX,Four additional CS Courses from CS340-398 or CS440-489,"CountByFamilyAndRange('CS',340,398) + CountByFamilyAndRange('CS',440,489) >= 4"
0,CS/BBA,2 of CS4XX,At least two courses (from the above) from CS440-489,"CountByFamilyAndRange('CS',440,489) >= 2"
0,CS/BBA,1 of Systems and SE,"One of CS343, 349, 442, 444, 445, 446, 447, 450, 452, 454, 456, 457, 458",(Count('CS458') + Count('CS457') + Count('CS456') + Count('CS454') + Count('CS452') + Count('CS450') + Count('CS447') + Count('CS446') + Count('CS445') + Count('CS444') + Count('CS442') + Count('CS349') + Count('CS343')) >= 1
0,CS/BBA,1 of Applications,"One of CS348, 448, 473, 476, 482, 483, 486, 488",(Count('CS488') + Count('CS486') + Count('CS483') + Count('CS482') + Count('CS476') + Count('CS473') + Count('CS448') + Count('CS348')) >= 1
0,CS/BBA,1 of Mathematical Foundations,"One of CS360, 365, 370, 371, 462, 466, 467, 475, 487",(Count('CS487') + Count('CS475') + Count('CS467') + Count('CS466') + Count('CS462') + Count('CS371') + Count('CS370') + Count('CS365') + Count('CS360')) >= 1
0,CS/BBA,BU111,BU111,TakingThisCourse('BU111')
0,CS/BBA,BU121,BU121,TakingThisCourse('BU121')
0,CS/BBA,EC120,EC120,TakingThisCourse('EC120')
0,CS/BBA,EC140,EC140,TakingThisCourse('EC140')
0,CS/BBA,EC250/EC260,EC250/EC260,TakingThisCourse('EC250') || TakingThisCourse('EC260')
0,CS/BBA,BU227,BU227,TakingThisCourse('BU227')
0,CS/BBA,BU288,BU288,TakingThisCourse('BU288')
0,CS/BBA,BU247,BU247,TakingThisCourse('BU247')
0,CS/BBA,BU231,BU231,TakingThisCourse('BU231')
0,CS/BBA,BU352,BU352,TakingThisCourse('BU352')
0,CS/BBA,BU354,BU354,TakingThisCourse('BU354')
